iter	RMSE
0	11577.36765
1	11200.30036
2	10856.23855
3	10452.33716
4	10073.38722
5	9738.479841
6	9408.378683
7	9100.675709
8	8823.005033
9	8542.664471
10	8266.604518
11	8033.356054
12	7821.173357
13	7649.671829
14	7453.432426
15	7258.463196
16	7086.566188
17	6913.081269
18	6744.98782
19	6599.538201
20	6448.512516
21	6318.114825
22	6176.325065
23	6057.542328
24	5949.007817
25	5836.243733
26	5739.877467
27	5653.704575
28	5594.077904
29	5509.621105
30	5427.666093
31	5354.249001
32	5285.816543
33	5223.336097
34	5168.555039
35	5132.645297
36	5090.747448
37	5058.600878
38	5011.043136
39	4962.053158
40	4911.987352
41	4865.269833
42	4827.596335
43	4789.450691
44	4759.949105
45	4725.810182
46	4700.084365
47	4672.66669
48	4625.266958
49	4596.985081
50	4570.45765
51	4524.843021
52	4514.286469
53	4488.960832
54	4446.395976
55	4422.863906
56	4407.048489
57	4395.247237
58	4356.579576
59	4351.448059
60	4344.802265
61	4333.31784
62	4294.964216
63	4278.583711
64	4259.866343
65	4250.822432
66	4243.707967
67	4221.964947
68	4208.564632
69	4203.004463
70	4191.319615
71	4186.288764
72	4182.012529
73	4165.829308
74	4145.587981
75	4107.608665
76	4099.517208
77	4080.296258
78	4073.91031
79	4067.691479
80	4055.653248
81	4054.266372
82	4044.684847
83	4023.182283
84	3995.301991
85	3958.118485
86	3928.001164
87	3920.678078
88	3917.895774
89	3902.911589
90	3887.447552
91	3886.584573
92	3883.966318
93	3882.245714
94	3874.074618
95	3871.221818
96	3851.69177
97	3849.115456
98	3846.901344
99	3840.772216
100	3808.634743
101	3793.92736
102	3768.215968
103	3762.310659
104	3738.935291
105	3707.546527
106	3707.246984
107	3705.017388
108	3700.081369
109	3671.689459
110	3671.080688
111	3642.160679
112	3640.692756
113	3640.67855
114	3621.099053
115	3620.690989
116	3598.587151
117	3592.48747
118	3565.236199
119	3542.655377
120	3518.92886
121	3515.15049
122	3490.768069
123	3470.723825
124	3441.000997
125	3418.358365
126	3417.053259
127	3416.041679
128	3412.442414
129	3408.882264
130	3405.856519
131	3381.892146
132	3381.50026
133	3377.893934
134	3352.959825
135	3327.450714
136	3321.485941
137	3303.059438
138	3301.852336
139	3278.155842
140	3273.497776
141	3249.594318
142	3225.913237
143	3222.279518
144	3216.676291
145	3208.081734
146	3207.576414
147	3205.9711
148	3205.406655
149	3182.053151
150	3166.785379
151	3140.265446
152	3119.439731
153	3097.672108
154	3069.907155
155	3055.639849
156	3035.426831
157	3022.478345
158	3016.924239
159	2999.831082
160	2999.275603
161	2973.972674
162	2953.878898
163	2937.784156
164	2920.497072
165	2901.620111
166	2881.796625
167	2856.261038
168	2845.499727
169	2837.671359
170	2837.067076
171	2819.756815
172	2804.012831
173	2791.759998
174	2782.330048
175	2757.012298
176	2748.249443
177	2734.626689
178	2723.963083
179	2716.55619
180	2716.39958
181	2702.964208
182	2702.722934
183	2694.763506
184	2681.631809
185	2659.007109
186	2634.975958
187	2624.435949
188	2617.169448
189	2605.842497
190	2599.669126
191	2596.030141
192	2588.553886
193	2578.218194
194	2563.164628
195	2554.965226
196	2540.580573
197	2532.482065
198	2520.880852
199	2513.742867
200	2504.205465
201	2499.652371
202	2483.719384
203	2470.291017
204	2459.139698
205	2453.284308
206	2445.118566
207	2434.961414
208	2425.649339
209	2419.013131
210	2404.35723
211	2398.108121
212	2393.025993
213	2389.712575
214	2379.630889
215	2370.519134
216	2362.487378
217	2353.137031
218	2352.557145
219	2341.502276
220	2337.321022
221	2330.696363
222	2322.186396
223	2309.749681
224	2302.205996
225	2295.551819
226	2285.352627
227	2270.702444
228	2267.0041
229	2263.052132
230	2258.071042
231	2253.703901
232	2241.304201
233	2238.272581
234	2230.903059
235	2226.941455
236	2225.234366
237	2224.448007
238	2219.295673
239	2205.029259
240	2202.451885
241	2199.231187
242	2193.457793
243	2186.607712
244	2182.245033
245	2177.068053
246	2170.963966
247	2170.736604
248	2168.458706
249	2162.251531
250	2156.34084
251	2153.270254
252	2145.261865
253	2141.289227
254	2137.381575
255	2130.683157
256	2120.297828
257	2112.743569
258	2106.938486
259	2097.244485
260	2094.050519
261	2086.813952
262	2083.507451
263	2079.012869
264	2075.651143
265	2073.148885
266	2068.938538
267	2062.454808
268	2054.545836
269	2050.651708
270	2049.905711
271	2049.280408
272	2047.024738
273	2041.642805
274	2032.415537
275	2028.986718
276	2021.43019
277	2017.087578
278	2014.68214
279	2005.397446
280	1990.272588
281	1987.20109
282	1985.858726
283	1980.375252
284	1970.276555
285	1965.652926
286	1962.652337
287	1950.359771
288	1941.657754
289	1939.539185
290	1932.331784
291	1929.763808
292	1921.552762
293	1914.631458
294	1909.085599
295	1902.522282
296	1898.43621
297	1895.714946
298	1888.747889
299	1888.064556
300	1884.802457
301	1881.496546
302	1876.503032
303	1869.696915
304	1860.167292
305	1852.157791
306	1843.148004
307	1833.470901
308	1831.927633
309	1822.592678
