iter	Passed	Remaining
0	156	77853
1	163	40645
2	252	41859
3	262	32562
4	275	27311
5	304	25062
6	315	22243
7	330	20342
8	338	18470
9	350	17180
10	358	15942
11	453	18434
12	504	18894
13	1229	42672
14	1236	39995
15	1249	37784
16	1266	35989
17	1279	34254
18	1297	32842
19	1314	31551
20	1326	30254
21	1332	28947
22	1344	27893
23	1361	27010
24	1376	26148
25	1385	25264
26	1407	24659
27	1587	26760
28	1593	25872
29	1620	25382
30	1629	24658
31	1677	24540
32	1766	24994
33	1777	24365
34	1802	23950
35	1807	23301
36	1813	22698
37	1821	22142
38	2560	30267
39	2591	29807
40	4029	45108
41	4064	44325
42	4080	43361
43	4094	42433
44	4102	41477
45	4110	40566
46	4116	39671
47	4130	38895
48	7026	64668
49	7045	63413
50	7079	62325
51	9951	85731
52	9966	84052
53	10014	82715
54	12841	103900
55	12944	102634
56	12958	100710
57	12966	98817
58	15820	118250
59	15830	116091
60	15834	113955
61	15843	111923
62	18657	129418
63	18683	127282
64	18852	126164
65	18861	124029
66	18867	121934
67	18911	120142
68	18925	118214
69	18933	116308
70	18952	114516
71	18961	112712
72	18966	110942
73	19054	109693
74	19397	109921
75	22153	123595
76	22171	121797
77	22514	121808
78	22525	120039
79	22535	118311
80	22560	116704
81	22566	115033
82	22908	115092
83	23605	116905
84	23952	116946
85	26708	128573
86	29516	140116
87	29533	138269
88	29559	136507
89	29899	136210
90	30582	137452
91	30590	135661
92	30602	133927
93	30609	132209
94	30682	130802
95	30694	129173
96	32100	133366
97	32115	131739
98	32133	130155
99	32229	128919
100	35038	138419
101	35222	137437
102	38000	146469
103	38054	144899
104	38742	145744
105	41536	154390
106	41558	152638
107	41577	150911
108	41673	149488
109	43067	152693
110	43072	150948
111	45923	159093
112	45945	157351
113	45946	155574
114	47291	158322
115	47297	156572
116	50193	164308
117	50231	162613
118	53068	169908
119	55902	177024
120	58980	184741
121	59044	182940
122	61939	189846
123	64749	196338
124	67748	203246
125	70819	210209
126	70836	208047
127	70848	205903
128	70863	203801
129	70894	201776
130	70943	199832
131	73763	205643
132	73780	203589
133	73828	201651
134	76680	207321
135	79538	212881
136	79597	210905
137	82403	216158
138	82432	214086
139	85269	219264
140	85323	217240
141	88157	222256
142	90980	227132
143	91004	224983
144	91355	223663
145	91460	221761
146	91470	219654
147	91486	217588
148	91493	215530
149	94513	220531
150	97472	225283
151	100520	230139
152	104945	238012
153	109462	245934
154	113633	252926
155	117009	258021
156	119961	262080
157	122828	265869
158	124265	266505
159	127108	270105
160	127118	267660
161	129966	271164
162	132838	274642
163	135711	278043
164	138567	281333
165	141475	284654
166	144293	287722
167	147167	290830
168	149979	293746
169	152842	296694
170	152860	294099
171	155757	297026
172	158611	299802
173	161434	302456
174	164271	305075
175	167111	307637
176	169964	310161
177	172786	312568
178	175652	314996
179	178514	317359
180	178535	314656
181	181347	316860
182	181364	314166
183	184213	316366
184	187060	318507
185	189916	320612
186	192733	322596
187	195598	324610
188	198463	326572
189	201462	328702
190	204563	330943
191	207676	333148
192	210790	335299
193	213926	337430
194	217026	339452
195	220148	341454
196	223214	343320
197	226282	345137
198	229304	346837
199	232155	348233
200	234957	349513
201	237765	350763
202	240588	351993
203	243625	353496
204	246598	354861
205	249566	356176
206	252628	357585
207	255584	358800
208	258515	359942
209	261610	361271
210	264583	362390
211	267570	363491
212	270562	364561
213	273601	365654
214	276590	366643
215	279458	367435
216	282350	368227
217	285231	368969
218	286663	367819
219	289528	368490
220	292394	369131
221	292751	366598
222	295584	367161
223	298450	367734
224	299876	366515
225	302731	367028
226	305628	367562
227	308518	368057
228	311395	368507
229	314357	369027
230	317398	369610
231	320554	370295
232	323719	370957
233	326865	371564
234	329726	371819
235	332566	372023
236	332920	369443
237	333269	366876
238	336079	367015
239	338955	367201
240	341866	367400
241	344823	367621
242	347916	367961
243	350945	368205
244	353776	368216
245	356584	368180
246	359446	368178
247	359476	365274
248	362318	365229
249	365124	365124
250	367958	365026
251	370825	364939
252	373681	364819
253	376529	364670
254	379426	364547
255	382278	364359
256	385130	364151
257	387964	363904
258	390823	363661
259	393814	363521
260	396688	363250
261	399598	362994
262	402429	362645
263	405336	362346
264	408177	361969
265	411038	361590
266	413916	361208
267	416804	360815
268	419651	360369
269	422499	359907
270	423891	358196
271	426757	357723
272	429611	357223
273	432490	356725
274	435375	356216
275	438214	355652
276	441072	355087
277	443925	354501
278	444276	351917
279	447099	351292
280	449974	350692
281	452842	350069
282	455642	349379
283	458478	348702
284	461327	348018
285	464195	347334
286	467034	346614
287	469909	345905
288	472774	345174
289	475586	344390
290	478450	343629
291	478812	341072
292	481677	340297
293	484499	339479
294	487322	338647
295	490157	337810
296	492968	336944
297	495775	336062
298	498614	335189
299	498791	332527
300	501622	331637
301	504498	330763
302	507346	329858
303	510214	328953
304	513082	328036
305	515944	327101
306	518819	326163
307	521697	325213
308	524683	324319
309	527722	323442
